Umag,Ts,Ta,alphan,sigmat,theta,phi,panang,Cd
6.246122999999999593e+03,3.434139999999999873e+02,8.550096999999998388e+02,2.058542999999999901e-01,4.461050999999999767e-01,1.196762000000000103e+00,-6.892403000000000279e-01,2.000000000000000000e+01,2.349876000000000076e+00
5.861032000000000153e+03,1.412315000000000111e+02,3.702773000000000252e+02,3.590720000000000023e-01,9.770191999999999766e-01,-1.765220000000000011e+00,4.714651000000000258e-01,4.000000000000000000e+01,2.938543000000000127e+00
8.848965000000000146e+03,2.155988999999999862e+02,7.367585000000000264e+02,1.314165999999999945e-01,5.613595000000000113e-01,-1.964647000000000032e+00,-3.093794000000000266e-01,0.000000000000000000e+00,2.521042000000000005e+00
6.735729000000000269e+03,4.425432000000000130e+02,1.013443999999999960e+03,7.652712000000000403e-01,2.435521999999999965e-01,-1.107718999999999898e+00,-9.022158000000000122e-01,4.000000000000000000e+01,2.328469000000000122e+00
6.284909999999999854e+03,2.246898999999999944e+02,8.867806000000000495e+02,2.481231999999999882e-01,2.869804000000000244e-01,2.548566999999999805e+00,1.313091999999999926e+00,7.000000000000000000e+01,4.497595999999999705e+00
8.234563000000000102e+03,3.043328999999999951e+02,1.860239000000000033e+03,2.439153000000000154e-02,9.815196000000000476e-01,-2.558551000000000020e+00,-1.159602999999999939e+00,8.000000000000000000e+01,3.480684000000000111e+00
5.948884000000000015e+03,1.169167999999999950e+02,1.372884000000000015e+03,4.704299000000000119e-01,3.490301000000000098e-01,2.851272999999999946e+00,-1.370980000000000087e+00,8.000000000000000000e+01,2.868122000000000060e+00
6.496996000000000095e+03,1.917025999999999897e+02,1.603394000000000005e+03,2.776031999999999944e-01,5.835394999999999888e-01,3.763236000000000098e-03,-4.929308000000000023e-01,4.000000000000000000e+01,3.127499999999999947e+00
7.834926000000000386e+03,4.674857000000000085e+02,6.635893999999999551e+02,8.562986999999998572e-01,7.217093999999998344e-01,-6.664311000000000540e-02,-6.416157999999999584e-01,6.000000000000000000e+01,2.339925000000000033e+00
8.656930000000000291e+03,4.607196000000000140e+02,1.025382000000000062e+03,6.420810999999999602e-01,5.499496000000000384e-01,-1.584165999999999963e+00,-8.613334000000000268e-01,8.000000000000000000e+01,3.409238000000000213e+00
8.056596999999998843e+03,3.244076999999999771e+02,1.771625000000000000e+03,3.922202000000000188e-01,4.767099000000000197e-01,-1.784527999999999892e+00,-4.017266999999999921e-01,7.000000000000000000e+01,2.357047999999999810e+00
